,theta 0.0,theta 0.8,theta 1.0
CIFAR10_resnet18_soter_stealing_50_protect_params,11173962.0,1957568.0,38848.0
CIFAR10_resnet18_soter_stealing_50_protect_flops,556651530.0,134266880.0,39780352.0
CIFAR10_resnet18_soter_stealing_50_acc,21.5,88.26,90.93
CIFAR10_resnet18_soter_stealing_50_acc_ratio,0.22449618878563227,0.9215829591730188,0.9494622533152345
CIFAR10_resnet18_soter_stealing_50_fidelity,21.71,89.37,92.37
CIFAR10_resnet18_soter_stealing_50_asr,7.377049180327869,99.4535519125683,100.0
CIFAR10_vgg16_bn_soter_stealing_50_protect_params,14728266.0,2399808.0,38976.0
CIFAR10_vgg16_bn_soter_stealing_50_protect_flops,313754634.0,77545472.0,39780352.0
CIFAR10_vgg16_bn_soter_stealing_50_acc,12.3,80.34,84.12
CIFAR10_vgg16_bn_soter_stealing_50_acc_ratio,0.1321869962385814,0.8634067705534659,0.9040300913487374
CIFAR10_vgg16_bn_soter_stealing_50_fidelity,12.47,81.81,85.79
CIFAR10_vgg16_bn_soter_stealing_50_asr,24.233983286908078,100.0,100.0
CIFAR10_alexnet_soter_stealing_50_protect_params,2458442.0,316864.0,316864.0
CIFAR10_alexnet_soter_stealing_50_protect_flops,56281610.0,22069248.0,22069248.0
CIFAR10_alexnet_soter_stealing_50_acc,24.47,59.56,59.56
CIFAR10_alexnet_soter_stealing_50_acc_ratio,0.29245846779012785,0.7118441496354727,0.7118441496354727
CIFAR10_alexnet_soter_stealing_50_fidelity,24.42,63.17,63.16
CIFAR10_alexnet_soter_stealing_50_asr,14.779874213836477,82.70440251572327,82.70440251572327
CIFAR100_resnet18_soter_stealing_500_protect_params,11220132.0,1957568.0,38848.0
CIFAR100_resnet18_soter_stealing_500_protect_flops,556697700.0,134266880.0,39780352.0
CIFAR100_resnet18_soter_stealing_500_acc,15.33,75.12,77.68
CIFAR100_resnet18_soter_stealing_500_acc_ratio,0.18729383017715334,0.9177764202810019,0.9490531459987784
CIFAR100_resnet18_soter_stealing_500_fidelity,15.44,80.41,85.46
CIFAR100_resnet18_soter_stealing_500_asr,26.625386996904027,99.38080495356037,100.0
CIFAR100_vgg16_bn_soter_stealing_500_protect_params,14774436.0,2399808.0,38976.0
CIFAR100_vgg16_bn_soter_stealing_500_protect_flops,313800804.0,77545472.0,39780352.0
CIFAR100_vgg16_bn_soter_stealing_500_acc,9.93,67.53,71.37
CIFAR100_vgg16_bn_soter_stealing_500_acc_ratio,0.1339357971405449,0.9108443485298084,0.9626382519557595
CIFAR100_vgg16_bn_soter_stealing_500_fidelity,9.88,76.73,84.23
CIFAR100_vgg16_bn_soter_stealing_500_asr,43.986254295532646,99.3127147766323,99.3127147766323
CIFAR100_alexnet_soter_stealing_500_protect_params,2481572.0,316864.0,316864.0
CIFAR100_alexnet_soter_stealing_500_protect_flops,56304740.0,22069248.0,22069248.0
CIFAR100_alexnet_soter_stealing_500_acc,11.99,43.86,43.92
CIFAR100_alexnet_soter_stealing_500_acc_ratio,0.20527306967984935,0.7508988186954288,0.7519260400616333
CIFAR100_alexnet_soter_stealing_500_fidelity,13.21,54.0,54.07
CIFAR100_alexnet_soter_stealing_500_asr,42.06008583690987,91.41630901287554,90.55793991416309
STL10_resnet18_soter_stealing_50_protect_params,11181642.0,1965248.0,46528.0
STL10_resnet18_soter_stealing_50_protect_flops,562353162.0,139968512.0,45481984.0
STL10_resnet18_soter_stealing_50_acc,31.4,83.0,84.275
STL10_resnet18_soter_stealing_50_acc_ratio,0.35415198082616667,0.9361342168334978,0.950514591851121
STL10_resnet18_soter_stealing_50_fidelity,31.5,87.525,88.5625
STL10_resnet18_soter_stealing_50_asr,19.46107784431138,100.0,100.0
STL10_vgg16_bn_soter_stealing_50_protect_params,14728266.0,2399808.0,38976.0
STL10_vgg16_bn_soter_stealing_50_protect_flops,1255003146.0,310181888.0,159121408.0
STL10_vgg16_bn_soter_stealing_50_acc,22.6875,88.05,88.4
STL10_vgg16_bn_soter_stealing_50_acc_ratio,0.2521884118382659,0.9787411421425594,0.9826316520772544
STL10_vgg16_bn_soter_stealing_50_fidelity,22.85,92.75,92.2875
STL10_vgg16_bn_soter_stealing_50_asr,74.12790697674419,100.0,100.0
STL10_alexnet_soter_stealing_50_protect_params,2458442.0,316864.0,316864.0
STL10_alexnet_soter_stealing_50_protect_flops,154339850.0,88276992.0,88276992.0
STL10_alexnet_soter_stealing_50_acc,15.5875,66.6875,66.6875
STL10_alexnet_soter_stealing_50_acc_ratio,0.20286318529363917,0.8679030421343744,0.8679030421343744
STL10_alexnet_soter_stealing_50_fidelity,15.325,77.5125,77.5125
STL10_alexnet_soter_stealing_50_asr,16.96113074204947,100.0,100.0
UTKFaceRace_resnet18_soter_stealing_50_protect_params,11178564.0,1965248.0,46528.0
UTKFaceRace_resnet18_soter_stealing_50_protect_flops,562350084.0,139968512.0,45481984.0
UTKFaceRace_resnet18_soter_stealing_50_acc,45.41326067211626,77.29336966394187,84.01453224341508
UTKFaceRace_resnet18_soter_stealing_50_acc_ratio,0.5030181086519115,0.8561368209255534,0.9305835010060363
UTKFaceRace_resnet18_soter_stealing_50_fidelity,46.548592188919166,80.06357856494097,87.1480472297911
UTKFaceRace_resnet18_soter_stealing_50_asr,11.931818181818182,100.0,100.0
UTKFaceRace_vgg16_bn_soter_stealing_50_protect_params,14725188.0,2399808.0,38976.0
UTKFaceRace_vgg16_bn_soter_stealing_50_protect_flops,1255000068.0,310181888.0,159121408.0
UTKFaceRace_vgg16_bn_soter_stealing_50_acc,46.321525885558586,80.42688465031789,82.60672116257948
UTKFaceRace_vgg16_bn_soter_stealing_50_acc_ratio,0.5037037037037038,0.8745679012345678,0.8982716049382716
UTKFaceRace_vgg16_bn_soter_stealing_50_fidelity,46.41235240690281,82.37965485921889,84.60490463215258
UTKFaceRace_vgg16_bn_soter_stealing_50_asr,30.16759776536313,100.0,100.0
UTKFaceRace_alexnet_soter_stealing_50_protect_params,2456900.0,316864.0,316864.0
UTKFaceRace_alexnet_soter_stealing_50_protect_flops,154338308.0,88276992.0,88276992.0
UTKFaceRace_alexnet_soter_stealing_50_acc,48.047229791099,82.83378746594005,82.83378746594005
UTKFaceRace_alexnet_soter_stealing_50_acc_ratio,0.5348837209302325,0.9221435793731041,0.9221435793731041
UTKFaceRace_alexnet_soter_stealing_50_fidelity,48.13805631244323,84.96821071752952,84.96821071752952
UTKFaceRace_alexnet_soter_stealing_50_asr,16.470588235294116,100.0,100.0
